url,title,comment,servings,time,calory,genre,category
https://www.bh-recipe.jp/recipe/010100001.html,うずら豆の甘煮, ,4人分,60分以上,266kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100002.html,ずんだあえ,ゆでた枝豆をすりつぶしたものを東北地方で、ずんだ、じんだ、じんだんといいます。語源は豆打（ずだ）。塩、砂糖などで調味して、もちにからめたり、あえ衣に。,4人分,15～30分,66kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100003.html,かぶのそぼろ煮,とろけるほどにやわらかく煮たかぶのほの甘さと、とりそぼろあんの組み合わせ。かぶのおいしい季節に。,4人分,15～30分,118kcal,和風,メインのおかず
https://www.bh-recipe.jp/recipe/010100004.html,かぶら蒸し,かぶら蒸しは、冬の京料理を代表するもののひとつです。,4人分,15～30分,124kcal,和風,メインのおかず
https://www.bh-recipe.jp/recipe/010100005.html,かぼちゃのいとこ煮,いとこ煮は、あずきと野菜の煮ものを表します。由来は諸説ありますが、形は違ってもともに野菜。近親ということのようです。,4人分,60分以上,161kcal,和風,メインのおかず
https://www.bh-recipe.jp/recipe/010100006.html,しゅんぎくと菊の花のおひたし,エディブルフラワー（食用花）は伝統のおそうざいにも。彩りの美しい１品です。,4人分,15分以内,15kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100008.html,八幡巻き,ごぼうの産地、京都郊外八幡町に由来。本来は身の長い魚（うなぎ、はも、あなごなど）を巻きつけます。,4人分,15～30分,158kcal,和風,メインのおかず
https://www.bh-recipe.jp/recipe/010100009.html,きんぴらごぼう,人気浄瑠璃の主人公・金平（きんぴら）の精力に、なぜかごぼうがなぞらえられました。今日では油でいため、砂糖、しょうゆなどでいり煮する調理一般に使われています。,4人分,15～30分,96kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100010.html,柳川,江戸・日本橋横山町の柳川という屋号の店で創案されたからとも、福岡・柳川産の土鍋を使うからともいわれます。,4人分,15～30分,212kcal,和風,メインのおかず
https://www.bh-recipe.jp/recipe/010100011.html,ごまどうふ,本来はごまをすって作りますが、家庭では練りごまを使うと手軽です。,4人分,15～30分,151kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100012.html,青菜と油揚げの煮物, ,4人分,15分以内,54kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100013.html,さといもの煮ころがし,下ゆでしない家庭的な煮方です。煮汁にとろみが残り、素朴なうまみが味わえます。,4人分,15～30分,100kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100014.html,さといもといかの煮もの,いかからでるうまみは、さといもとぴったりの相性です。,4人分,15～30分,133kcal,和風,メインのおかず
https://www.bh-recipe.jp/recipe/010100015.html,きぬかつぎ,衣被（きぬかつぎ）と書きます。衣をまとった愛らしい感じは、小粒のいもで。だんごと一緒に月見の晩のお供えにも。,4人分,15～30分,78kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100016.html,さつまいもの田舎煮,皮つきのまま、野趣豊かに煮ます。少し煮くずれるくらいのほうがおいしい。,4人分,15～30分,184kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100017.html,さやいんげんのごまあえ,白ごま、黒ごまはお好みで。ほうれんそう、しゅんぎく、せり、みつばなどもよく合います。,4人分,15分以内,41kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100018.html,さやえんどうの卵とじ,あり合わせの材料を卵のおいしさでまとめる手軽な調理法。朝食には野菜を主体に、牛肉やあなごを使えば夕食向きになります。,4人分,15分以内,64kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100019.html,じゃがいもの梨もどき,しゃりしゃりとした梨の実のような歯ざわりです。じゃがいもは、できるだけ細く切って、さっと火を通すのがコツです。,4人分,15分以内,41kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100020.html,新じゃがの揚げ煮,水分の多い新じゃがならではの味わい。揚げてから煮るのでコクがあります。,4人分,15～30分,148kcal,和風,メインのおかず
https://www.bh-recipe.jp/recipe/010100021.html,そら豆の甘煮, ,4人分,15～30分,66kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100022.html,ふろふきだいこん,だいこんが本当においしくなる冬、ふうふういいながら、熱々をいただく料理です。,4人分,15～30分,82kcal,和風,メインのおかず
https://www.bh-recipe.jp/recipe/010100023.html,おでん, ,4人分,60分以上,672kcal,和風,メインのおかず
https://www.bh-recipe.jp/recipe/010100024.html,だいこんとぶりのあら煮,だいこんが、あらの脂っぽさを消して、お互いがおいしくなります。はまちのあらでもおいしい。,4人分,30～60分,192kcal,和風,メインのおかず
https://www.bh-recipe.jp/recipe/010100025.html,柿なます,柿はビタミンＡ、Ｃがたっぷり。意外と料理にも使えます。,4人分,15分以内,30kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100026.html,なめこのおろしあえ, ,4人分,15分以内,22kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100027.html,切り干しだいこんの煮物,色が白く、新鮮なものを選びます。水につけすぎると香りが損なわれます。,4人分,15～30分,114kcal,和風,サブのおかず
https://www.bh-recipe.jp/recipe/010100028.html,五目豆,水煮の大豆を使えば、大豆を煮る手間が省けて、１０～１５分で作れます。,4人分,60分以上,89kcal,和風,サブのおかず
